"site_code","year","exp_duration","trt","trait","mean_control","mean_trt","sd_control","sd_trt","se_control","se_trt","n_control","n_trt"
"bldr.us",2011,3,"N","lma",400.889330489481,265.426618151433,309.796513391033,208.333015845553,154.898256695517,93.1693570776396,4,5
"bldr.us",2011,3,"P","lma",400.889330489481,381.311819350852,309.796513391033,266.134439894653,154.898256695517,108.64893012055,4,6
"bldr.us",2011,3,"NP","lma",400.889330489481,226.593390994163,309.796513391033,107.249861209722,154.898256695517,61.9207362399831,4,3
"bnch.us",2011,4,"N","lma",664.669887304298,714.847295778022,1274.24068575862,1414.31935484597,424.746895252872,471.439784948658,9,9
"bnch.us",2011,4,"P","lma",664.669887304298,164.688779163191,1274.24068575862,191.87729441714,424.746895252872,67.8388680190437,9,8
"bnch.us",2011,4,"NP","lma",664.669887304298,152.196641503715,1274.24068575862,164.42696552017,424.746895252872,54.8089885067232,9,9
"bogong.au",2011,2,"N","lma",164.931292837181,191.675748367334,65.9589808685437,115.952560954724,19.0407176799636,34.961012560694,12,11
"bogong.au",2011,2,"P","lma",164.931292837181,147.217412036665,65.9589808685437,60.6483913184499,19.0407176799636,17.5076825268124,12,12
"bogong.au",2011,2,"NP","lma",164.931292837181,127.505042007966,65.9589808685437,56.5181140568969,19.0407176799636,17.0408525622944,12,11
"burrawan.au",2011,3,"N","lma",174.830431045255,196.382008013107,90.9375015432439,130.942821156194,25.2215249751347,36.3170042948128,13,13
"burrawan.au",2011,3,"P","lma",174.830431045255,180.055829228669,90.9375015432439,90.2344294856923,25.2215249751347,26.0484360768684,13,12
"burrawan.au",2011,3,"NP","lma",174.830431045255,180.473976222765,90.9375015432439,74.9862228175488,25.2215249751347,20.7974362555415,13,13
"cbgb.us",2012,3,"N","lma",78.309813875124,67.7808656753183,36.083539948554,47.0439561149824,12.027846649518,15.6813187049941,9,9
"cbgb.us",2012,3,"P","lma",78.309813875124,123.509575455341,36.083539948554,96.2546076800698,12.027846649518,32.0848692266899,9,9
"cbgb.us",2012,3,"NP","lma",78.309813875124,70.0173334185058,36.083539948554,46.5278295764355,12.027846649518,15.5092765254785,9,9
"comp.pt",2014,2,"N","lma",48.6977765863392,47.0097461809138,18.8453513730994,14.0329332212352,5.22676005229582,7.0164666106176,13,4
"comp.pt",2014,2,"P","lma",48.6977765863392,58.6531357274634,18.8453513730994,31.8942090549472,5.22676005229582,15.9471045274736,13,4
"comp.pt",2014,2,"NP","lma",48.6977765863392,66.5327110987708,18.8453513730994,63.7515718593661,5.22676005229582,28.5105696700011,13,5
"cowi.ca",2011,4,"N","lma",111.228102899939,60.7308175607014,133.299003792677,12.194975327717,44.4330012642258,4.97857782978944,9,6
"cowi.ca",2011,4,"P","lma",111.228102899939,65.7980937934938,133.299003792677,11.7654351885315,44.4330012642258,4.15970950271074,9,8
"cowi.ca",2011,4,"NP","lma",111.228102899939,63.8412111634673,133.299003792677,19.5566377016202,44.4330012642258,6.51887923387341,9,9
"elliot.us",2011,3,"N","lma",55.0059772781769,52.3992300581387,27.5486837614323,13.8677710799939,9.1828945871441,4.9029974853032,9,8
"elliot.us",2011,3,"P","lma",55.0059772781769,57.2010651163191,27.5486837614323,12.5097794476873,9.1828945871441,4.42287493930388,9,8
"elliot.us",2011,3,"NP","lma",55.0059772781769,59.9919585883328,27.5486837614323,22.0984020228805,9.1828945871441,7.36613400762682,9,9
"frue.ch",2011,3,"N","lma",174.140604339034,192.761913326754,111.109240405816,148.865613474139,41.99534549644,52.6319423865296,7,8
"frue.ch",2011,3,"P","lma",174.140604339034,121.414161557952,111.109240405816,157.225553670778,41.99534549644,49.7190855980706,7,10
"frue.ch",2011,3,"NP","lma",174.140604339034,58.9720643865616,111.109240405816,32.4291326239862,41.99534549644,10.2549921635469,7,10
"gilb.za",2012,2,"N","lma",418.619768920566,464.099438864255,677.624800058828,638.359936057648,225.874933352943,201.867136494162,9,10
"gilb.za",2012,2,"P","lma",418.619768920566,384.896878784359,677.624800058828,449.938239285566,225.874933352943,149.979413095189,9,9
"gilb.za",2012,2,"NP","lma",418.619768920566,306.2980525974,677.624800058828,402.090597572376,225.874933352943,134.030199190792,9,9
